trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
5096,2022,IN,IN,FORES,SUGAR,0.52,106173.228,1.0,1.0,106173.228,106173.228,106173.228,204179.284615
11596,2022,IN,IN,SANDC,NFERT,0.03,105388.694,2.0,1.0,105388.694,105388.694,105388.694,3512956.466667
5044,2022,IN,IN,FORES,KEROS,0.51,104838.02,1.0,1.0,104838.02,104838.02,104838.02,205564.745098
1592,2022,IN,IN,CATTL,PRINT,0.53,103155.481,1.0,1.0,103155.481,103155.481,103155.481,194632.983019
11914,2022,IN,IN,STONE,OFFIC,0.24,101303.659,1.0,1.0,101303.659,101303.659,101303.659,422098.579167
1180,2022,IN,IN,BITUM,CEREA,0.13,100220.776,1.0,1.0,100220.776,100220.776,100220.776,770929.046154
12068,2022,IN,IN,SUGAR,FORES,0.23,98603.331,1.0,1.0,98603.331,98603.331,98603.331,428710.134783
8788,2022,IN,IN,PADDY,PFERT,0.47,96353.042,1.0,1.0,96353.042,96353.042,96353.042,205006.47234
11910,2022,IN,IN,STONE,NFERT,0.23,96347.499,1.0,1.0,96347.499,96347.499,96347.499,418902.169565
1574,2022,IN,IN,CATTL,MEDIC,0.5,95887.906,1.0,1.0,95887.906,95887.906,95887.906,191775.812
11933,2022,IN,IN,STONE,RUBBE,0.22,91158.716,1.0,1.0,91158.716,91158.716,91158.716,414357.8
11947,2022,IN,IN,STONE,WOODW,0.22,90249.041,1.0,1.0,90249.041,90249.041,90249.041,410222.913636
12124,2022,IN,IN,SUGAR,SUPPO,0.21,88712.728,1.0,1.0,88712.728,88712.728,88712.728,422441.561905
1191,2022,IN,IN,BITUM,DAIRY,0.12,88678.094,1.0,1.0,88678.094,88678.094,88678.094,738984.116667
5090,2022,IN,IN,FORES,RETAI,0.43,88429.746,1.0,1.0,88429.746,88429.746,88429.746,205650.572093
8813,2022,IN,IN,PADDY,WOODW,0.43,87940.507,1.0,1.0,87940.507,87940.507,87940.507,204512.806977
11605,2022,IN,IN,SANDC,PREC1,0.03,87261.412,2.0,1.0,87261.412,87261.412,87261.412,2908713.733333
1554,2022,IN,IN,CATTL,FISHF,0.45,86251.941,1.0,1.0,86251.941,86251.941,86251.941,191670.98
5072,2022,IN,IN,FORES,PIGS9,0.42,85103.247,1.0,1.0,85103.247,85103.247,85103.247,202626.778571
11885,2022,IN,IN,STONE,FISH5,0.2,82927.509,1.0,1.0,82927.509,82927.509,82927.509,414637.545
1275,2022,IN,IN,BITUM,WHEAT,0.11,82614.526,1.0,1.0,82614.526,82614.526,82614.526,751041.145455
11616,2022,IN,IN,SANDC,SALEM,0.03,80978.286,2.0,1.0,80978.286,80978.286,80978.286,2699276.2
11876,2022,IN,IN,STONE,DISTR,0.19,79192.477,1.0,1.0,79192.477,79192.477,79192.477,416802.510526
11560,2022,IN,IN,SANDC,COPP1,0.03,77566.748,2.0,1.0,77566.748,77566.748,77566.748,2585558.266667
12106,2022,IN,IN,SUGAR,PREC1,0.18,77538.665,1.0,1.0,77538.665,77538.665,77538.665,430770.361111
11890,2022,IN,IN,STONE,GASDI,0.19,77511.371,1.0,1.0,77511.371,77511.371,77511.371,407954.584211
8806,2022,IN,IN,PADDY,TEXTI,0.37,75855.947,1.0,1.0,75855.947,75855.947,75855.947,205016.072973
