trade_id,year,region1,region2,industry1,industry2,amount
9054,2022,IN,IN,PFERT,CONST,2811.41
13301,2022,IN,IN,WHOLE,RUBBE,2794.81
5255,2022,IN,IN,FURNI,CONST,2778.11
1919,2022,IN,IN,CHEM1,ALUM1,2735.94
13293,2022,IN,IN,WHOLE,RAWMI,2730.23
7782,2022,IN,IN,MOTOR,GASDI,2719.88
4932,2022,IN,IN,FOOD5,HOTEL,2700.09
1498,2022,IN,IN,BUSIN,PUBLI,2680.80
5679,2022,IN,IN,HEALT,HEALT,2652.38
2608,2022,IN,IN,COPP1,BASIC,2636.06
2042,2022,IN,IN,CHEM1,TEXTI,2624.38
2255,2022,IN,IN,COKIN,BASIC,2614.74
2003,2022,IN,IN,CHEM1,NONME,2573.55
2571,2022,IN,IN,CONST,PUBLI,2553.63
2996,2022,IN,IN,DAIRY,PADDY,2544.52
2576,2022,IN,IN,CONST,REALE,2542.27
4476,2022,IN,IN,FABRI,FOUND,2528.94
1438,2022,IN,IN,BUSIN,FINAN,2480.65
8117,2022,IN,IN,NATUR,NATUR,2456.82
5022,2022,IN,IN,FORES,CONST,2451.64
6357,2022,IN,IN,LANDT,BEVER,2433.54
2872,2022,IN,IN,CRUDE,KEROS,2363.75
6437,2022,IN,IN,LANDT,NONME,2358.57
11159,2022,IN,IN,RETA1,WEARI,2307.72
8794,2022,IN,IN,PADDY,PROCE,2300.94
12771,2022,IN,IN,TRANS,TRANS,2298.71
4569,2022,IN,IN,FINAN,BASIC,2264.60
6402,2022,IN,IN,LANDT,FURNI,2262.66
1497,2022,IN,IN,BUSIN,PROCE,2254.66
8690,2022,IN,IN,OILSE,FOOD5,2250.31
701,2022,IN,IN,BASIC,BASIC,2225.33
2634,2022,IN,IN,COPP1,ELECT,2219.60
6441,2022,IN,IN,LANDT,PADDY,2216.18
6395,2022,IN,IN,LANDT,FABRI,2198.56
13202,2022,IN,IN,WHOLE,CEMEN,2195.07
4642,2022,IN,IN,FINAN,MOTO1,2174.22
13098,2022,IN,IN,WEARI,WEARI,2150.97
