state_code,industry_code,direct_jobs,indirect_jobs,induced_jobs,total_output_impact,tax_revenue_impact
AZ,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
CA,services,0.04246381098,0.025478286588000002,0.02123190549,4954.111281,594.4933537200001
FL,services,0.02123190549,0.012739143294000001,0.010615952745,2477.0556405,297.24667686000004
GA,services,0.010615952745,0.0063695716470000005,0.0053079763725,1238.52782025,148.62333843000002
IL,services,0.01415460366,0.008492762196,0.00707730183,1651.3704270000003,198.16445124000003
IN,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
MA,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
MD,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
MI,services,0.010615952745,0.0063695716470000005,0.0053079763725,1238.52782025,148.62333843000002
MO,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
NC,services,0.010615952745,0.0063695716470000005,0.0053079763725,1238.52782025,148.62333843000002
NJ,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
NY,services,0.008492762196,0.0050956573176,0.004246381098,990.8222562000001,118.898670744
OH,services,0.008492762196,0.0050956573176,0.004246381098,990.8222562000001,118.898670744
PA,services,0.01415460366,0.008492762196,0.00707730183,1651.3704270000003,198.16445124000003
TN,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
TX,services,0.031847858235,0.019108714941,0.0159239291175,3715.5834607499996,445.8700152899999
VA,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
WA,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
WI,services,0.003538650915,0.002123190549,0.0017693254575,412.8426067500001,49.54111281000001
