trade_id,year,region1,region2,industry1,industry2,amount
11869,2022,CN,CN,RESEA,OFFIC,36997.57
12183,2022,CN,CN,RUBBE,CHEM1,36973.24
11522,2022,CN,CN,REALE,PUBLI,36692.07
11476,2022,CN,CN,REALE,HEALT,36546.25
12034,2022,CN,CN,RETA1,TEXTI,36543.56
8546,2022,CN,CN,NAPHT,PLAST,36500.94
2615,2022,CN,CN,COPP1,ELECT,36269.98
2605,2022,CN,CN,COPP1,COPP1,36000.08
1434,2022,CN,CN,BUSIN,COMPU,35897.26
4831,2022,CN,CN,FINAN,MOTO1,35502.74
12247,2022,CN,CN,RUBBE,OFFIC,35116.84
5409,2022,CN,CN,FOUND,CONST,34806.38
6038,2022,CN,CN,HEALT,HEALT,34786.45
306,2022,CN,CN,ALUM1,ELECT,34159.95
11527,2022,CN,CN,REALE,REALE,33943.89
12205,2022,CN,CN,RUBBE,ELECT,33877.41
14240,2022,CN,CN,WHOLE,FISH5,33821.56
7911,2022,CN,CN,MEATP,HOTEL,33736.74
14213,2022,CN,CN,WHOLE,BUSIN,33699.28
10764,2022,CN,CN,PRINT,PRINT,33596.32
4653,2022,CN,CN,FABRI,ELECT,33077.43
6306,2022,CN,CN,HOTEL,HEALT,32813.90
7174,2022,CN,CN,LANDT,WHOLE,32680.77
9585,2022,CN,CN,PADDY,PADDY,32452.02
1678,2022,CN,CN,CERAM,CERAM,32389.98
10231,2022,CN,CN,PLANT,WOODW,32343.25
10589,2022,CN,CN,PREC1,PREC1,31974.07
4862,2022,CN,CN,FINAN,RAILW,31955.93
8442,2022,CN,CN,MOTOR,MOTOR,31886.40
1537,2022,CN,CN,BUSIN,RESEA,31537.75
14303,2022,CN,CN,WHOLE,RETA1,31517.63
1503,2022,CN,CN,BUSIN,OFFIC,31466.42
7217,2022,CN,CN,LEAD1,LEAD1,31458.15
3472,2022,CN,CN,ELEC1,DISTR,31449.19
11451,2022,CN,CN,REALE,EDUCA,31313.06
14268,2022,CN,CN,WHOLE,MOTO1,31126.74
7111,2022,CN,CN,LANDT,HOTEL,30810.95
1470,2022,CN,CN,BUSIN,HEALT,30805.67
1493,2022,CN,CN,BUSIN,MOTO1,30705.06
12553,2022,CN,CN,SEACO,SEACO,30677.62
2822,2022,CN,CN,CRUDE,KEROS,30625.38
11215,2022,CN,CN,RADIO,RADIO,30303.15
8953,2022,CN,CN,NONF1,NONF1,30120.83
6674,2022,CN,CN,INSUR,CONST,29909.80
1267,2022,CN,CN,BITUM,NONME,29820.76
14280,2022,CN,CN,WHOLE,PAPER,29562.34
14218,2022,CN,CN,WHOLE,CHEM1,29317.05
9050,2022,CN,CN,NONME,CERAM,29276.87
11970,2022,CN,CN,RETA1,HOTEL,28987.96
11887,2022,CN,CN,RESEA,RADIO,28903.47
265,2022,CN,CN,AIRTR,SUPPO,28895.77
7143,2022,CN,CN,LANDT,POULT,28761.93
4815,2022,CN,CN,FINAN,INSUR,28472.91
14255,2022,CN,CN,WHOLE,LANDT,28365.76
5774,2022,CN,CN,GASDI,SEACO,28182.52
8420,2022,CN,CN,MOTOR,GASDI,28131.26
13226,2022,CN,CN,TEXTI,LEATH,28118.31
14238,2022,CN,CN,WHOLE,FABRI,27959.40
2825,2022,CN,CN,CRUDE,LIQUE,27942.72
13959,2022,CN,CN,WEARI,CONST,27803.83
10342,2022,CN,CN,POSTT,BUSIN,27690.13
1784,2022,CN,CN,CHEM1,ALUM1,27682.55
14222,2022,CN,CN,WHOLE,COMPU,27536.15
4796,2022,CN,CN,FINAN,FABRI,27533.20
62,2022,CN,CN,93197,HEALT,27477.63
761,2022,CN,CN,BASIC,OFFIC,27196.15
1243,2022,CN,CN,BITUM,FURNI,27180.34
