trade_id,year,region1,region2,industry1,industry2,amount
3194,2022,DE,DE,COMPU,PRINT,3970.33
15926,2022,DE,DE,RENTI,WHOLE,3937.28
16126,2022,DE,DE,RETA1,HOTEL,3930.43
3165,2022,DE,DE,COMPU,MOTO1,3852.46
1044,2022,DE,DE,BEVER,HOTEL,3850.40
3191,2022,DE,DE,COMPU,POSTT,3750.11
3157,2022,DE,DE,COMPU,MACHI,3739.37
3761,2022,DE,DE,DAIRY,DAIRY,3738.59
4296,2022,DE,DE,EDUCA,PUBLI,3737.84
1957,2022,DE,DE,BUSIN,RESEA,3718.96
15911,2022,DE,DE,RENTI,SUPPO,3713.30
9871,2022,DE,DE,LIGNI,ELEC1,3683.40
15450,2022,DE,DE,REALE,REALE,3674.97
3093,2022,DE,DE,COMPU,BUSIN,3654.41
6137,2022,DE,DE,FINAN,MOTO1,3601.15
1960,2022,DE,DE,BUSIN,RUBBE,3533.56
3301,2022,DE,DE,CONST,HEALT,3526.02
14068,2022,DE,DE,POSTT,PUBLI,3441.94
7516,2022,DE,DE,FOUND,MACHI,3392.19
15841,2022,DE,DE,RENTI,LANDT,3382.44
3112,2022,DE,DE,COMPU,EDUCA,3356.90
3897,2022,DE,DE,DIST1,DISTR,3351.91
15373,2022,DE,DE,REALE,FINAN,3326.87
11283,2022,DE,DE,MOTO1,SALEM,3274.76
1977,2022,DE,DE,BUSIN,TRANS,3231.47
14694,2022,DE,DE,PUBLI,BUSIN,3195.31
10348,2022,DE,DE,MACHI,CONST,3185.51
15445,2022,DE,DE,REALE,PUBLI,3183.25
682,2022,DE,DE,AUXIL,AUXIL,3182.43
1834,2022,DE,DE,BUSIN,AUXIL,3175.31
16203,2022,DE,DE,RETA1,TRANS,3132.06
15947,2022,DE,DE,RESEA,CHEM1,3112.17
19611,2022,DE,DE,WHOLE,PUBLI,3109.73
7440,2022,DE,DE,FORES,WOODW,3028.86
3234,2022,DE,DE,COMPU,WHOLE,3015.87
13965,2022,DE,DE,POSTT,BUSIN,2995.51
6130,2022,DE,DE,FINAN,MACHI,2995.07
15390,2022,DE,DE,REALE,HOTEL,2977.66
14037,2022,DE,DE,POSTT,MOTO1,2955.18
16665,2022,DE,DE,SALEM,SALEM,2941.99
17861,2022,DE,DE,SUPPO,MEATP,2928.17
19523,2022,DE,DE,WHOLE,DAIRY,2889.01
8946,2022,DE,DE,INSUR,LANDT,2805.09
13821,2022,DE,DE,PLAST,CHEM1,2771.67
9367,2022,DE,DE,LANDT,BASIC,2762.38
19524,2022,DE,DE,WHOLE,DIST1,2759.31
3207,2022,DE,DE,COMPU,RETA1,2728.01
9419,2022,DE,DE,LANDT,GASDI,2683.49
3254,2022,DE,DE,CONST,BUSIN,2668.60
6112,2022,DE,DE,FINAN,HEALT,2639.86
16147,2022,DE,DE,RETA1,MOTO1,2632.56
1956,2022,DE,DE,BUSIN,RENTI,2620.77
3429,2022,DE,DE,COPP1,COPP1,2592.61
16646,2022,DE,DE,SALEM,POSTT,2592.45
1893,2022,DE,DE,BUSIN,HOTEL,2584.29
3219,2022,DE,DE,COMPU,SUPPO,2566.08
5945,2022,DE,DE,FABRI,FURNI,2558.10
3381,2022,DE,DE,CONST,SUPPO,2549.86
6179,2022,DE,DE,FINAN,RETA1,2543.70
3273,2022,DE,DE,CONST,EDUCA,2533.95
15899,2022,DE,DE,RENTI,RETA1,2533.82
16674,2022,DE,DE,SALEM,SUPPO,2502.99
18381,2022,DE,DE,TEXTI,TEXTI,2498.92
6065,2022,DE,DE,FINAN,BUSIN,2492.92
14091,2022,DE,DE,POSTT,SUPPO,2483.73
18776,2022,DE,DE,TRANS,PUBLI,2482.78
15483,2022,DE,DE,REALE,WHOLE,2464.48
1961,2022,DE,DE,BUSIN,SALEM,2438.15
19621,2022,DE,DE,WHOLE,RESEA,2415.53
15114,2022,DE,DE,RAILW,BASIC,2401.06
9432,2022,DE,DE,LANDT,LANDT,2391.95
1863,2022,DE,DE,BUSIN,EDUCA,2390.63
